id,transaction_type,date_run
1yBl7rAXsGRKyv9XYUOKng,delivery,2022-08-16 00:00:00
m7hqwHm3y-afNBsrPfHwww,delivery,2022-08-16 00:00:00
rKbQcDoi2e4SC1dznxz9gg,pickup,2022-08-16 00:00:00
rKbQcDoi2e4SC1dznxz9gg,delivery,2022-08-16 00:00:00
34IdM25cUprfJ-6ig_y99g,delivery,2022-08-16 00:00:00
7Oj8IKp1pibP4huWecsQ6A,pickup,2022-08-16 00:00:00
7Oj8IKp1pibP4huWecsQ6A,delivery,2022-08-16 00:00:00
FeGnmBb3zXMpfrjaBchf6A,delivery,2022-08-16 00:00:00
d6S_AgOYhWh3wWlCqP0_KQ,delivery,2022-08-16 00:00:00
lVSi-ilqM8FzT_HnK7cQ4A,delivery,2022-08-16 00:00:00
n6hB6mIctJQDn-DAH7MpGg,delivery,2022-08-16 00:00:00
n6hB6mIctJQDn-DAH7MpGg,pickup,2022-08-16 00:00:00
BKdSIJZ0YBaWM5YqOdNNkw,delivery,2022-08-16 00:00:00
BKdSIJZ0YBaWM5YqOdNNkw,pickup,2022-08-16 00:00:00
_wPEVw2gQpySK5GCA3dbsA,delivery,2022-08-16 00:00:00
_wPEVw2gQpySK5GCA3dbsA,pickup,2022-08-16 00:00:00
_wPEVw2gQpySK5GCA3dbsA,restaurant_reservation,2022-08-16 00:00:00
SvZEZbtqpNWjUBurscVfmQ,delivery,2022-08-16 00:00:00
SvZEZbtqpNWjUBurscVfmQ,pickup,2022-08-16 00:00:00
bzX2yVjfPEOBzBnZeWXQKQ,delivery,2022-08-16 00:00:00
bzX2yVjfPEOBzBnZeWXQKQ,pickup,2022-08-16 00:00:00
OXkT4ZYdVhbIOQOKpkU3PQ,delivery,2022-08-16 00:00:00
M8bPywd4KKfsBu39gh9ZaA,delivery,2022-08-16 00:00:00
M8bPywd4KKfsBu39gh9ZaA,pickup,2022-08-16 00:00:00
NTm6VhKpSIKkAf9D2RsElw,delivery,2022-08-16 00:00:00
NTm6VhKpSIKkAf9D2RsElw,pickup,2022-08-16 00:00:00
3hxncVCRPfmKLOyiXKXbDw,delivery,2022-08-16 00:00:00
JAowO8zNOdbuP-lm2VCYyA,delivery,2022-08-16 00:00:00
JAowO8zNOdbuP-lm2VCYyA,pickup,2022-08-16 00:00:00
QDMHg_6S4ZsKpHbenczeHg,delivery,2022-08-16 00:00:00
